Epoch 0000, AveLoss: nan, BestValMRR 0.5102, BestTestMRR: 0.4972, test_hit@1: 0.4527, test_hit@3: 0.5168, test_hit@10: 0.5826, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0001, AveLoss: nan, BestValMRR 0.5582, BestTestMRR: 0.5397, test_hit@1: 0.4926, test_hit@3: 0.5614, test_hit@10: 0.6278, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0002, AveLoss: nan, BestValMRR 0.5884, BestTestMRR: 0.5746, test_hit@1: 0.5263, test_hit@3: 0.5977, test_hit@10: 0.6640, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0003, AveLoss: nan, BestValMRR 0.6005, BestTestMRR: 0.5875, test_hit@1: 0.5382, test_hit@3: 0.6109, test_hit@10: 0.6804, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0004, AveLoss: nan, BestValMRR 0.6019, BestTestMRR: 0.5911, test_hit@1: 0.5419, test_hit@3: 0.6140, test_hit@10: 0.6843, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0005, AveLoss: nan, BestValMRR 0.6132, BestTestMRR: 0.5993, test_hit@1: 0.5480, test_hit@3: 0.6249, test_hit@10: 0.6957, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0006, AveLoss: nan, BestValMRR 0.6225, BestTestMRR: 0.6104, test_hit@1: 0.5585, test_hit@3: 0.6383, test_hit@10: 0.7042, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0007, AveLoss: nan, BestValMRR 0.6225, BestTestMRR: 0.6104, test_hit@1: 0.5585, test_hit@3: 0.6383, test_hit@10: 0.7042, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0008, AveLoss: nan, BestValMRR 0.6264, BestTestMRR: 0.6127, test_hit@1: 0.5608, test_hit@3: 0.6373, test_hit@10: 0.7117, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0009, AveLoss: nan, BestValMRR 0.6264, BestTestMRR: 0.6127, test_hit@1: 0.5608, test_hit@3: 0.6373, test_hit@10: 0.7117, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0010, AveLoss: nan, BestValMRR 0.6296, BestTestMRR: 0.6171, test_hit@1: 0.5632, test_hit@3: 0.6448, test_hit@10: 0.7156, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0011, AveLoss: nan, BestValMRR 0.6303, BestTestMRR: 0.6208, test_hit@1: 0.5672, test_hit@3: 0.6487, test_hit@10: 0.7191, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
